ISIN	Issuer Full Name
SE0006342333	NP3 Fastigheter AB
ES0135961219	FADESA Inmobiliaria SA
JE00B1S0VN88	Delek Global Real Estate Ltd
DE000A1ML7J1	Deutsche Annington Immobilien SE
PLGTC0000037	Globe Trade Centre SA
IM00B1HYQS19	Hirco PLC
ES0173964018	Riofisa SA
ES0173365018	Renta Corp Real Estate SA
GB00B0BHCR03	Mapeley Ltd
JE00B4MFKH73	LXB Retail Properties PLC
RU000A0JPFP0	"OAO ""Gruppa LSR"""
NL0006146185	KDD Group
BE0003878957	VGP Industrialni Stavby
DK0060093524	Investea German High Street II
GB00B3PQND71	Metric Property Investments PLC
JE00B3CX6J86	Max Property Group PLC
TREEGYO00017	Emlak Konut Gayrimenkul Yatirim Ortakligi AS
TRETRGY00018	Torunlar Gayrimenkul Yatirim Ortakligi AS
GG00B61JP354	Squarestone Brasil Ltd
PLPHN0000014	Polski Holding Nieruchomosci SA
FR0004031292	Fonciere Sepric SA
DE000A1E8H38	JK Wohnbau AG
GB00B1VVM685	Rugby Estates Investment Trust PLC
JE00B1Z91C77	Nordic Land PLC
DE000A0KFRM5	FranconoWest AG
BE0003870871	Banimmo SA
GB00B23FXY03	Real Office Group PLC
LU0686550053	Bilfinger Berger Global Infrastructure SICAV SA
GB00B8460Z43	GCP Student Living Plc
DE000LEG1110	LEG Immobilien AG
SE0004977692	Platzer Fastigheter AB
IE00BJ34P519	Irish Residential Properties REIT PLC
NO0010612450	Selvaag Bolig ASA
DE000A12B8Z4	TLG IMMOBILIEN AG
FR0010588079	Frey SA
TREAKFG00012	Akfen Gayrimenkul Yatirim Ortakligi AS
GB00BMHTHT14	Zoopla Property Group PLC
IE00BBR67J55	Green REIT PLC
CH0045825517	Fundamenta Real Estate AG
IE00BGHQ1986	Hibernia REIT PLC
ES0105025003	Merlin Properties SOCIMI SA
GB00BG49KP99	Tritax Big Box REIT PLC
ES0105015012	Lar Espana Real Estate SOCIMI SA
GB00BCKFY513	Foxtons Group Plc
ES0105019006	Hispania Activos Inmobiliarios SA
SE0005594728	D Carnegie & Co AB
GB00BLWDVR75	Empiric Student Property Plc
GB00BJFLFT45	Custodian REIT PLC
GB00BLMQ9L68	Secure Income REIT PLC
NO0010716418	Entra ASA
GB00BNGMZB68	Ediston Property Investment Company PLC
GB00BTDY6Q96	Mill Residential REIT PLC
GB00BYV2MV74	Purplebricks Group PLC
BE0974288202	Xior Student Housing NV
GB00BW4NWS02	Drum Income Plus REIT Plc
LU1250154413	ADO Properties SA
GB00BY7R8K77	Schroder European Real Estate Investment Trust PLC
SE0007158456	A Group Of Retail Assets Sweden AB
GB00BYNVD082	McCarthy & Stone Plc
SE0007074505	Magnolia Bostad AB
GB00BWD24154	AEW UK REIT Plc
PLBIKPT00014	Biuro Inwestycji Kapitalowych SA
GB00BDR05757	Jupiter Emerging & Frontier Income Trust PLC
GB00BF0P7H59	Triple Point Social Housing REIT PLC
EE3100127242	Eften Real Estate Fund Iii As
ES0105122024	Metrovacesa SA
NO0010781206	Self Storage Group ASA
CH0305285295	Varia US Properties AG
GB00BD8HBD32	Civitas Social Housing PLC
GB00BYQ46T41	LXi REIT PLC
ES0105196002	VBARE Iberian Properties SOCIMI SA
SE0009663511	SSM Holding AB
CH0325094297	Investis Holding SA
NL0012235980	Griffin Premium RE BV
SE0014829644	Offentliga Hus i Norden AB
GB00BYSX1508	Residential Secure Income PLC
GB00BF345X11	Supermarket Income REIT PLC
GB00BF01NH51	The PRS REIT PLC
DE000A2G8XX3	Godewind Immobilien Ag
GB00BFFK7H57	Odyssean Investment Trust PLC
IE00BDT5KP12	Yew Grove Reit PLC
FI4000312251	Kojamo Oyj
GB00BGJWTR88	Smithson Investment Trust PLC
ES0105376000	Arima Real Estate SOCIMI SA
BE0974374069	Inclusio SCA
SE0012481364	John Mattson Fastighetsforetagen AB
IT0005377277	CleanBnB SpA
CH0516131684	EPIC Suisse AG
SE0014608915	Fortinova Fastigheter AB
SE0014956819	Stenhus Fastigheter i Norden AB
NL00150006R6	CTP NV
TREZRGY00023	Ziraat Gayrimenkul Yatirim Ortakligi AS
TREKZBG00026	Kizilbuk Gayrimenkul Yatirim Ortakligi AS
SE0017072259	Intea Fastigheter AB
SE0016276851	Arlandastad Holding AB
MT0000940107	Hili Properties PLC
TREPSFK00023	Pasifik Gayrimenkul Yatirim Ortakligi AS
MT0002570100	AX Real Estate PLC
SE0017565476	Swedish Logistic Property AB
IT0005562183	Emma Villas SpA
GB00BLF79495	One Heritage Group PLC
NO0013178616	Public Property Invest AS
SE0022062055	Prisma Properties AB
SE0022243812	Sveafastigheter AB
IT0005540676	Arras Group SpA
IT0005468290	SIF Italia SpA
FI4000176557	Cityvarasto Oyj
JE00B5Q9HB52	Top Creation Investments Ltd
SE0016797591	Kjell Group AB
