DATE	SMB	HML
20040330	0,46	0,16
20040331	0,14	0,21
20040401	0,24	0,04
20040402	0,78	0,06
20040405	0,13	-0,41
20040406	-0,74	0,18
20040407	0,89	-0,12
20040408	-0,32	0,14
20040412	0,21	-0,31
20040413	-0,54	-0,38
20040414	-0,29	-0,44
20040415	-0,25	-0,40
20040416	-0,04	0,10
20040419	0,52	-0,30
20040420	-0,24	-0,01
20040421	0,56	0,00
20040422	0,14	-0,10
20040423	-0,26	-0,01
20040426	0,03	-0,34
20040427	-0,04	-0,11
20040428	-0,92	-0,08
20040429	-0,77	-0,78
20040430	-0,80	-0,04
20040503	0,03	-0,33
20040504	0,42	0,17
20040505	-0,10	-0,19
20040506	-0,35	-0,20
20040507	-0,67	-0,49
20040510	-0,56	-0,46
20040511	0,84	0,24
20040512	-0,21	-0,06
20040513	-0,26	0,01
20040514	-0,61	-0,13
20040517	-0,39	-0,29
20040518	0,39	0,24
20040519	-0,03	0,51
20040520	-0,14	0,15
20040521	0,43	0,02
20040524	0,65	0,53
20040525	0,57	0,09
20040526	0,14	0,04
20040527	-0,26	-0,13
20040528	-0,05	0,13
20040601	0,67	-0,06
20040602	-0,24	-0,16
20040603	-0,96	-0,04
20040604	0,38	0,11
20040607	0,16	0,36
20040608	-0,16	-0,08
20040609	-0,48	-0,04
20040610	-0,29	0,38
20040614	-0,56	-0,59
20040615	0,99	0,20
20040616	0,28	-0,11
20040617	0,02	0,05
20040618	-0,21	0,20
20040621	0,09	0,14
20040622	0,24	0,07
20040623	0,54	0,23
20040624	-0,01	0,18
20040625	1,22	0,12
20040628	-0,05	-0,07
20040629	0,56	-0,06
20040630	0,07	0,35
20040701	-0,53	0,53
20040702	0,18	0,38
20040706	-0,90	0,89
20040707	-0,33	0,21
20040708	-0,96	0,24
20040709	0,17	-0,16
20040712	-0,48	0,36
20040713	0,02	0,18
20040714	-0,36	0,40
20040715	0,63	0,11
20040716	-0,76	0,63
20040719	-0,27	0,53
20040720	0,95	-0,73
20040721	-1,22	0,68
20040722	-0,42	-0,57
20040723	-0,40	0,63
20040726	-0,70	0,14
20040727	1,04	-0,68
20040728	-0,61	0,27
20040729	0,92	-0,45
20040730	0,21	-0,28
20040802	-0,46	0,21
20040803	-0,89	0,75
20040804	0,05	0,01
20040805	-0,20	0,48
20040806	-0,91	0,79
20040809	-0,35	0,01
20040810	0,77	-0,41
20040811	-0,41	0,07
20040812	-0,51	0,35
20040813	-0,03	0,14
20040816	0,38	-0,10
20040817	0,15	-0,51
20040818	0,77	-0,72
20040819	-0,26	0,23
20040820	0,91	-0,27
20040823	-0,33	-0,30
20040824	0,16	0,13
20040825	0,13	-0,47
20040826	-0,49	0,36
20040827	0,52	-0,23
20040830	-0,45	0,35
20040831	0,04	0,16
20040901	0,56	-0,38
20040902	0,28	-0,27
20040903	-0,25	0,39
20040907	0,33	-0,02
20040908	-0,34	0,04
20040909	1,21	-0,27
20040910	0,18	-0,55
20040913	0,46	-0,47
20040914	-0,47	-0,11
20040915	0,15	0,37
